[...] b. Jacob,[...] b. Yaʿaqov,Jacob --> Yaʿaqov
[...] b. Janūn al-Maḡribī,[...] b. Janūn al-Maghribī,
[…] b. Joseph,[…] b. Yosef,Joseph --> Yosef
[...] b. Judah,[...] b. Yehuda,Judah --> Yehuda
[...] b. Ḵalaf,[...] b. khalaf,
[...] b. Ḵalaf the silk trader,[...] b. khalaf the silk trader,
[...] b. Ḵallūf,[...] b. khallūf,
[...] b. Kaṯīr ha-Kohen,[...] b. Kathīr ha-Kohen,ṯ --> th
[...] b. Manasseh,[...] b. Menashshe,Manasseh --> Menashshe
[…] b. Manasseh ‘head of the congregation’,[…] b. Menashshe ‘head of the congregation’,
[...] b. Manṣūr,[...] b. Manṣūr,
[…] b. Marb[…],[…] b. Marb[…],
[...] b. Mardūk,[...] b. Mardūk,
[...] b. Maʿā,[...] b. Maʿā,
[...] b. Menaḥem,[...] b. Menaḥem,
[...] b. Menaḥem ha-Levi ‘Av Bet Din of the House of Meeting’,[...] b. Menaḥem ha-Levi ‘Av Bet Din of the House of Meeting’,
[...] b. Mešullam,[...] b. Meshullam,
[...] b. Mevasser,[...] b. Mevasser,
"[…] b. Mevasser, Faraj b. ʿEli","[…] b. Mevasser, Faraj b. ʿEli",
[...] b. Mevoraḵ,[...] b. Mevorakh,
[...] b. Michael Viroṭi,[...] b. Mikha’el Viroṭi,
[...] b. Moses,[...] b. Moshe,
[...] b. Moses (known as Ibn ʿUṣfūra),[...] b. Moshe (known as Ibn ʿUṣfūra),
[...] b. Moses ha-Kohen,[...] b. Moshe ha-Kohen,
[...] b. Mufaḍḍal,[...] b. Mufaḍḍal,
[...] b. Muḥāsin,[...] b. Muḥāsin,
[...] b. Mūsā,[...] b. Mūsā,
[...] b. Nadīb,[...] b. Nadīb,Nadiv probably (should be checked)
[...] b. Naḥman,[...] b. Naḥman,
[...] b. Nahray,[...] b. Nahray,
[...] b. Nahum,[...] b. Nahum,
[...] b. Naḥum,[...] b. Naḥum,
[...] b. Najā al-Iskandarānī,[...] b. Najā al-Iskandarānī,
[…] b. Nāmūs,[…] b. Nāmūs,Nathan --> Natan
[…] b. Nathan,[…] b. Natan,
[…] b. Nathan ha-Levi,[…] b. Natan ha-Levi,
[…] b. Nathan he-Ḥaver,[…] b. Natan he-Ḥaver,
[...] b. Nathaniel,[...] b. Nataniel,Nathaniel --> Netanʾel
[...] b. Nathaniel ha-Levi,[...] b. Nataniel ha-Levi,
[…] b. Naʿm,[…] b. Naʿm,
[...] b. Nissim,[...] b. Nissim,
[…] b. Nissim ha-Kohen,[…] b. Nissim ha-Kohen,
[...] b. Nissim Iskandarānī,[...] b. Nissim Iskandarānī,
[...] b. Obadiah,[...] b. Ovadya,Obadiah --> Ovadya (except as biblical book)
[…] b. Peraḥya,[…] b. Peraḥya,
[…] b. Pinḥas,[…] b. Pinḥas,
[…] b. Rabīʿ,[…] b. Rabīʿ,
[…] b. Rajā,[…] b. Rajā,
[...] b. Ṣadoq ha-Kohen,[...] b. Ṣadoq ha-Kohen,
[…] b. Sahl,[…] b. Sahl,
[...] b. Samuel,[...] b. Shemuʾel,
[...] b. Samuel ‘Head of the Row’,[...] b. Shemuʾel ‘Head of the Row’,
[...] b. Sarīr,[...] b. Sarīr,
[…] b. Saul,[…] b. Shaʾul,Saul --> Shaʾul
[...] b. Saʿadya,[...] b. Saʿadya,
[...] b. Saʿīd,[...] b. Saʿīd,
[...] b. Saʿīd b. Ḥalluf,[...] b. Saʿīd b. Ḥalluf,
[...] b. Ṣedaqa,[...] b. Ṣedaqa,
[...] b. Šela the judge (Fifth in the academy),[...] b. shela the judge (Fifth in the academy),
[...] b. Ṣemaḥ,[...] b. Ṣemaḥ,
[...] b. Šemarya,[...] b. shemarya,
[...] b. Šemarya ha-Levi,[...] b. shemarya ha-Levi,
[…] b. Simḥa,[…] b. Simḥa,
[…] b. Simḥa ha-Levi,[…] b. Simḥa ha-Levi,
[…] b. Solomon,[…] b. Shelomo,
[…] b. Solomon Gaʾon,[…] b. Shelomo Gaʾon,
[…] b. Solomon ha-Kohen,[…] b. Shelomo ha-Kohen,
[…] b. Solomon ha-Kohen (known as Abū l-Ḵayr),[…] b. Shelomo ha-Kohen (known as Abū l-khayr),
"[...] b. Solomon ha-Kohen, known as Salāma b. [...]","[...] b. Shelomo ha-Kohen, known as Salāma b. [...]",
[...] b. Sulaymān,[...] b. Sulaymān,
[...] b. Šuʾal,[...] b. shuʾal,
[…] b. Ṯābit,[…] b. thābit,
[...] b. Ṭahor,[...] b. Ṭahor,
[...] b. Tamīm,[...] b. Tamīm,
[...] b. Ṭayyib,[...] b. Ṭayyib,
[...] b. the cantor Ayyūb,[...] b. the cantor Ayyūb,
[…] b. Tiqva,[…] b. Tiqva,
[...] b. Ṭoviyya,[...] b. Ṭoviyya,
[...] b. Ya’ir,[...] b. Ya’ir,
[…] b. Yaḥyā,[…] b. Yaḥyā,
[...] b. Yaḵin,[...] b. Yakhin,
[…] b. Yaḵin ha-Kohen,[…] b. Yakhin ha-Kohen,
[…] b. Yaʿir ha-Šofet,[…] b. Yaʿir ha-shofet,
[...] b. Yefet,[...] b. Yefet,
[…] b. Yefet ha-Levi,[…] b. Yefet ha-Levi,
[...] b. Yefet the teacher ha-Levi,[...] b. Yefet the teacher ha-Levi,
"[...] b. Yefet, Yaḥyā b. […]","[...] b. Yefet, Yaḥyā b. […]",
[...] b. Yešuʿa,[...] b. Yeshuʿa,
[…] b. Yešuʿa ha-Baḥur,[…] b. Yeshuʿa ha-Baḥur,
[...] b. Yešuʿa ha-Kohen,[...] b. Yeshuʿa ha-Kohen,
"[...] b. Zechariah Mosseri, brother of Abraham Mosseri","[...] b. Zekharya Mosseri, brother of Avraham Mosseri",
[...] b. ʿAbdallah,[...] b. ʿAbdallah,
[…] b. ʿAlī,[…] b. ʿAlī,
[…] b. ʿAlī b. Ḥusayn b. Ibrahim b. ʿAlī,[…] b. ʿAlī b. Ḥusayn b. Ibrahim b. ʿAlī,
[…] b. ʿAlī b. Jābir,[…] b. ʿAlī b. Jābir,
[...] b. ʿAllūn (known as Ibn al-[..]ān),[...] b. ʿAllūn (known as Ibn al-[..]ān),
[…] b. ʿAmram,[…] b. ʿAmram,
[...] b. ʿAmram (known as Ibn Ḥarīra),[...] b. ʿAmram (known as Ibn Ḥarīra),
[…] b. ʿAmram ha-Levi,[…] b. ʿAmram ha-Levi,
[...] b. ʿEli,[...] b. ʿEli,
[...] b. ʿEli (known as Ibn Ḥunayn),[...] b. ʿEli (known as Ibn Ḥunayn),
[...] b. ʿEli ha-Parnas,[...] b. ʿEli ha-Parnas,
[…] b. ʿIwāḍ,[…] b. ʿIwāḍ,
[...] b. ʿŪḍ,[...] b. ʿŪḍ,
[…] b. ʿUlla,[…] b. ʿUlla,
[…] bar Sahlān,[…] bar Sahlān,
[...] Baruḵ,[...] Barukh,
[…] bat Aaron,[…] bat Aharon,
[...] bat Aaron (widow of Zechariah b. Oṯniel),[...] bat Aharon (widow of Zekharya b. Othniʾel),
"[...] bat Abraham, wife of Sar Šalom b. Yešuʿa","[...] bat Avraham, wife of Sar shalom b. Yeshuʿa",
[…] bat Abū l-Faḍl,[…] bat Abū l-Faḍl,
[...] bat Barak[āt] b. Šela ha-Levi al-Sukkarī,[...] bat Barak[āt] b. shela ha-Levi al-Sukkarī,
[…] bat Beraḵot ha-Levi b. Judah,[…] bat Berakhot ha-Levi b. Yehuda,
[...] bat Ḥalfon (widow of […]),[...] bat Ḥalfon (widow of […]),
[...] bat Hillel ha-Levi,[...] bat Hillel ha-Levi,
[…] bat Isaac,[…] bat Yiṣḥaq,
[…] bat Jacob,[…] bat Yaʿaqov,
[...] bat Joel b. Yešuʿa,[...] bat Yoʾel b. Yeshuʿa,Joel --> Yoʾel (except biblical book)
[...] bat Joseph,[...] bat Yosef,
[...] bat Joseph also known as Ibn al-Širjī,[...] bat Yosef also known as Ibn al-shirjī,
"[…] bat Joseph, wife of Samuel b. Nissim","[…] bat Yosef, wife of Shemuʾel b. Nissim",
[...] bat Kaṯīr,[...] bat Kathīr,
[...] bat Menaḥem,[...] bat Menaḥem,
[...] bat Mešullam,[...] bat Meshullam,
[…] bat Mufarraj (wife of Abū […]),[…] bat Mufarraj (wife of Abū […]),
[…] bat Muhaḏḏab b. Samuel,[…] bat MuhaDhDhab b. Shemuʾel,ḏ --> dh
[...] bat Muvḥar ha-Levi,[...] bat Muvḥar ha-Levi,
[...] bat Naṣir,[...] bat Naṣr,"This should probably be Naṣr, should be checked"
[...] bat Peraḥya,[...] bat Peraḥya,
[...] bat Šabbetay,[...] bat shabbetay,
[…] bat Saʿadya (widow),[…] bat Saʿadya (widow),
[…] bat Ṣedaqa,[…] bat Ṣedaqa,
[…] bat Ṣedaqa the elder,[…] bat Ṣedaqa the elder,
[...] bat Šela,[...] bat shela,
[...] bat Šemarya,[...] bat shemarya,
[...] bat Šemarya ha-Kohen,[...] bat shemarya ha-Kohen,
[...] bat Solomon,[...] bat Shelomo,
[...] bat Ṭoviyya,[...] bat Ṭoviyya,
[...] bat Yaḥya ha-Levi,[...] bat Yaḥya ha-Levi,
[...] bat Yefet,[...] bat Yefet,
[...] bat Yešuʿa,[...] bat Yeshuʿa,
[...] bat ʿAmram,[...] bat ʿAmram,
[...] Beraḵot ha-Kohen,[...] Berakhot ha-Kohen,
[...] bint Abū l-Ḥasan,[...] bint Abū l-Ḥasan,
[...] bint Mubāraka,[...] bint Mubāraka,
[…] bint Saʿīd,[…] bint Saʿīd,
[…] bint ʿAbd al-Raḥmān b. Yaḥyā,[…] bint ʿAbd al-Raḥmān b. Yaḥyā,
[...] descendant of Šemaʿya Gaʾon,[...] descendant of shemaʿya Gaʾon,
[...] Faraḥ ha-Kohen,[...] Faraḥ ha-Kohen,
[...] ha-Kohen,[...] ha-Kohen,
[…] ha-Kohen b. […] descendant of Aaron,[…] ha-Kohen b. […] descendant of Aharon,
[…] ha-Kohen b. Aaron ha-Kohen b. ʿAmram,[…] ha-Kohen b. Aharon ha-Kohen b. ʿAmram,
[...] ha-Kohen b. Abū Saʿadya,[...] ha-Kohen b. Abū Saʿadya,
[...] ha-Kohen b. Isaac,[...] ha-Kohen b. Yiṣḥaq,
[...] ha-Kohen b. Joseph,[...] ha-Kohen b. Yosef,
[...] ha-Kohen b. Judah,[...] ha-Kohen b. Yehuda,
[...] ha-Kohen b. Samuel,[...] ha-Kohen b. Shemuʾel,
[…] ha-Kohen b. Šela,[…] ha-Kohen b. shela,
[...] ha-Kohen ha-Parnas,[...] ha-Kohen ha-Parnas,
[...] ha-Kohen he-Ḥaver b. ʿEli he-Ḥaver the Adept,[...] ha-Kohen he-Ḥaver b. ʿEli he-Ḥaver the Adept,
[...] ha-Kohen the beadle,[...] ha-Kohen the beadle,
[...] ha-Levi,[...] ha-Levi,
[...] ha-Levi b. Furqān,[...] ha-Levi b. Furqān,
[…] ha-Levi b. Ḥalfon,[…] ha-Levi b. Ḥalfon,
[…] ha-Levi b. Mevoraḵ,[…] ha-Levi b. Mevorakh,
[…] ha-Levi b. Ṣedaqa,[…] ha-Levi b. Ṣedaqa,
[...] ha-Levi b. Ṭoviyya,[...] ha-Levi b. Ṭoviyya,
[...] ha-Levi b. Yefet,[...] ha-Levi b. Yefet,
[...] ha-Levi the elder,[...] ha-Levi the elder,
[...] ha-Mumḥe b. [...],[...] ha-Mumḥe b. [...],
[...] ha-Parnas b. Ḵalaf,[...] ha-Parnas b. khalaf,
[...] ha-Sofer,[...] ha-Sofer,
[…] he-Ḥaver b. ʿEli ha-Kohen he-Ḥaver,[…] he-Ḥaver b. ʿEli ha-Kohen he-Ḥaver,
[…] Hillel nin […],[…] Hillel nin […],
[...] Ḥusayn,[...] Ḥusayn,
[...] Ibn al-Ḏahabī b. Ṣedaqa,[...] Ibn al-Dhahabī b. Ṣedaqa,
[...] Ibn al-Kuḥlī,[...] Ibn al-Kuḥlī,
[...] Ibn al-Muqaddasī,[...] Ibn al-Maqdisī,This should probably be al-Maqdisī
[…] Ibn al-Qaṭāʾif,[…] Ibn al-Qaṭāʾif,
[…] Ibn al-Ṣabbāḡ,[…] Ibn al-Ṣabbāgh,
[...] Ibn Yāʾīr,[...] Ibn Yāʾīr,
[...] Joseph,[...] Yosef,
[…] Kohen b. Solomon,[…] Kohen b. Shelomo,
[...] Kohen b. Yaḥya,[...] Kohen b. Yaḥya,
"[...] Kohen, descendant of Joseph Kohen","[...] Kohen, descendant of Yosef Kohen",
[...] Maymun,[...] Maymun,
[...] Mevasser the teacher,[...] Mevasser the teacher,
[...] Muʿāfā,[...] Muʿāfā,
[...] Pinḥas the trader,[...] Pinḥas the trader,
[...] Samuel b. Ezra,[...] Shemuʾel b. ʿEzra,Ezra --> ʿEzra
[...] Sananes,[...] Sananes,
[...] Šemaʿya [...],[...] shemaʿya [...],
[...] Solomon,[...] Shelomo,
[...] Solomon the elder,[...] Shelomo the elder,
[...] Tarbiyya (wife of Solomon b. [...]),[...] Tarbiyya (wife of Shelomo b. [...]),
[...] Ṭayyib ha-Levi,[...] Ṭayyib ha-Levi,
[...] the cantor b. David the cantor,[...] the cantor b. David the cantor,
[...] the cantor b. Naḥman the cantor,[...] the cantor b. Naḥman the cantor,
[...] the cantor b. Nehemiah Roš ha-Pereq,[...] the cantor b. Neḥemya Rosh ha-Pereq,
[...] the cantor b. Peraḥya,[...] the cantor b. Peraḥya,
[...] the cantor b. Ṣadoq ha-Sofer,[...] the cantor b. Ṣadoq ha-Sofer,
[...] the doctor b. Šemarya,[...] the doctor b. shemarya,
[...] the doctor b. Tamīm the elder,[...] the doctor b. Tamīm the elder,
[...] the dyer,[...] the dyer,
[...] the dyer b. Abū l-Surūr,[...] the dyer b. Abū l-Surūr,
[...] the judge b. Jacob,[...] the judge b. Yaʿaqov,
[...] the judge b. ʿAmram,[...] the judge b. ʿAmram,
[...] the teacher b. Joseph,[...] the teacher b. Yosef,
[...] בן בנת[..],[...] בן בנת[..],
[...]ah b. Abraham,[...]ah b. Avraham,Abraham --> Avraham
[...]b b. Ḵalaf,[...]b b. khalaf,
[…]b. Tahvoy,[…]b. Tahvoy,
[...]danan b. Abraham,[...]danan b. Avraham,
[...]el al-Lāḏiqī,[...]el al-LāDhiqī,
[...]el b. Šela (known as Abū l-Munā) b. Mahd[...],[...]el b. shela (known as Abū l-Munā) b. Mahd[...],
[...]fa b. Yefet,[...]fa b. Yefet,
[…]h b. Solomon,[…]h b. Shelomo,
[...]h the doctor,[...]h the doctor,
[…]hdya bat Aaron ha-Kohen,[…]hdya bat Aharon ha-Kohen,
[...]l b. Elʿazar,[...]l b. Elʿazar,
[…]m b. Hillel,[…]m b. Hillel,
[…]n b. Abraham (cantor),[…]n b. Avraham (cantor),
[...]nan b. Yešuʿa,[...]nan b. Yeshuʿa,
[...]rta bat Ṣedaqa b. David ha-Kohen,[...]rta bat Ṣedaqa b. David ha-Kohen,
[...]ša,[...]sha,
[...]ya b. Aaron,[...]ya b. Aharon,
[...]ya b. Joseph,[...]ya b. Yosef,
[...]ya bint Aaron,[...]ya bint Aharon,
[...]ydah bat Abraham,[...]ydah bat Avraham,
[..]m b. Sanīṭ,[..]m b. Sanīṭ,
[..]ma bat Šela (known as Abū l-Faḍl Ibn al-Masqī),[..]ma bat shela (known as Abū l-Faḍl Ibn al-Masqī),
[Abraham?] b. David b. Labrāṭ,[Avraham?] b. David b. Labrāṭ,
"[Abū l-] Futūḥ al-Šamšūdī, daughter of","[Abū l-] Futūḥ al-shamshūdī, daughter of",
[Jaco?] b. Ismāʿīl,[Jaco?] b. Ismāʿīl,
[Šalom?] b. Joseph,[shalom?] b. Yosef,
[Samue]l b. Jacob,[Samue]l b. Yaʿaqov,
[scribe],[scribe],
[Y]aʿqūb,[Y]aʿqūb,
A Caro,A Caro,
Aaron,Aharon,
Aaron […],Aharon […],
Aaron Abū l-Ḥasan,Aharon Abū l-Ḥasan,
Aaron al-Ḡarbī,Aharon al-gharbī,
Aaron b. […],Aharon b. […],
Aaron b. […] the cantor,Aharon b. […] the cantor,
Aaron b. Abraham,Aharon b. Avraham,
Aaron b. Abū l-Riḍā,Aharon b. Abū l-Riḍā,
Aaron b. Asher,Aharon b. Asher,
Aaron b. Baqāʾ,Aharon b. Baqāʾ,
Aaron b. Benjamin b. Nihmi,Aharon b. Binyamin b. Nihmi,Benjamin --> Binyamin
Aaron b. David al-Raqqī,Aharon b. David al-Raqqī,
Aaron b. Ephraim,Aharon b. Efrayim,
Aaron b. Ephraim b. Tarson,Aharon b. Efrayim b. Tarson,
Aaron b. Isaac,Aharon b. Yiṣḥaq,
Aaron b. Isaac (teacher),Aharon b. Yiṣḥaq (teacher),
Aaron b. Jacob (Ibn Abī Rajīf),Aharon b. Yaʿaqov (Ibn Abī Rajīf),
Aaron b. Joseph,Aharon b. Yosef,
Aaron b. Joseph (known as Ibn al-Ḡazzāl),Aharon b. Yosef (known as Ibn al-ghazzāl),
Aaron b. Judah,Aharon b. Yehuda,
Aaron b. Laḥmon,Aharon b. Laḥmon,
Aaron b. Mordechai,Aharon b. Mordekhay,
Aaron b. Moses,Aharon b. Moshe,
Aaron b. Moses the Asherite (Aaron b. Asher),Aharon b. Moshe the Asherite (Aharon b. Asher),
Aaron b. Nissim,Aharon b. Nissim,
Aaron b. Nissim b. Aaron,Aharon b. Nissim b. Aharon,
Aaron b. Peraḥya,Aharon b. Peraḥya,
Aaron b. Pinḥas,Aharon b. Pinḥas,
Aaron b. Qāʿat,Aharon b. Qāʿat,
Aaron b. Reuben,Aharon b. Reʾuven,Reuben --> Reʾuven
Aaron b. Sahl al-Tustarī,Aharon b. Sahl al-Tustarī,
Aaron b. Samīḥ ha-Kohen,Aharon b. Samīḥ ha-Kohen,
Aaron b. Samuel the butcher,Aharon b. Shemuʾel the butcher,
Aaron b. Ṣedaqa,Aharon b. Ṣedaqa,
Aaron b. Solomon the moneychanger,Aharon b. Shelomo the moneychanger,
Aaron b. Solomon Yešu[.],Aharon b. Shelomo Yeshu[.],
Aaron b. Ṭoviyya the Third,Aharon b. Ṭoviyya the Third,
Aaron b. Yašar,Aharon b. Yashar,
Aaron b. Yešuʿa,Aharon b. Yeshuʿa,
Aaron b. Yešuʿa the doctor,Aharon b. Yeshuʿa the doctor,
Aaron b. Yešuʿa the physician,Aharon b. Yeshuʿa the physician,
Aaron b. ʿAzuz b. Aaron (scribe),Aharon b. ʿAzuz b. Aharon (scribe),
Aaron b. ʿEli,Aharon b. ʿEli,
Aaron Berav,Aharon Berav,
Aaron ha-Kohen,Aharon ha-Kohen,
Aaron ha-Kohen al-Iskandarānī b. Moses (silk trader),Aharon ha-Kohen al-Iskandarānī b. Moshe (silk trader),
Aaron ha-Kohen b. Faraj,Aharon ha-Kohen b. Faraj,
Aaron ha-Kohen b. Hillel,Aharon ha-Kohen b. Hillel,
Aaron ha-Kohen b. Namir,Aharon ha-Kohen b. Namer,"Probably should be Namer (Hebrew, not Arabic), but not sure"
Aaron ha-Kohen b. Sar Šalom (?) (שר שאלם),Aharon ha-Kohen b. Sar shalom (?) (שר שאלם),
Aaron ha-Kohen b. Yešuʿa,Aharon ha-Kohen b. Yeshuʿa,
Aaron ha-Kohen b. ʿAmram,Aharon ha-Kohen b. ʿAmram,
Aaron ha-Kohen b. ʿEli ha-Kohen,Aharon ha-Kohen b. ʿEli ha-Kohen,
Aaron ha-Levi b. David,Aharon ha-Levi b. David,
"Aaron ha-Levi b. Saʿīd, daughters of","Aharon ha-Levi b. Saʿīd, daughters of",
Aaron ha-Mūmḥe b. Ephraim (cantor),Aharon ha-Mūmḥe b. Efrayim (cantor),
Aaron ha-Zaqen,Aharon ha-Zaqen,
Aaron he-Ḥaver,Aharon he-Ḥaver,
Aaron he-Ḥaver b. Ṭoviyya ‘the Third’,Aharon he-Ḥaver b. Ṭoviyya ‘the Third’,
Aaron he-Ḥaver b. Yaḥyā,Aharon he-Ḥaver b. Yaḥyā,
Aaron Ibn al-ʿAmmānī (Aaron b. Yešuʿa),Aharon Ibn al-ʿAmmānī (Aharon b. Yeshuʿa),
Aaron Ibn Sarjado,Aharon Ibn Sarjado,
Aaron Mukārim b. Najūm,Aharon Mukārim b. Najūm,
Aaron of Ramla (father of Ḵalaf b. Aaron),Aharon of Ramla (father of khalaf b. Aharon),
Aaron the Adept b. Ephraim,Aharon the Adept b. Efrayim,
Aaron the cantor,Aharon the cantor,
Aaron the Cantor b. Abraham,Aharon the Cantor b. Avraham,
Aaron the cantor b. Ephraim,Aharon the cantor b. Efrayim,
"Aaron, brother of Jacob Bagilyer","Aharon, brother of Yaʿaqov Bagilyer",
Aba Mari Moses,Aba Mari Moshe,
Abba,Abba,
Abd al-Raḥmān b. ʿAlī b. Aḥmad,Abd al-Raḥmān b. ʿAlī b. Aḥmad,
Abdah Zerah Šalalʿabʾad,Abdah Zerah shalalʿabʾad,
Abī Kaṯīr Ephraim b. Yūsuf b. Ephraim,Abī Kathīr Efrayim b. Yūsuf b. Efrayim,
Abī l-Barakāt Joshua.,Abī l-Barakāt Yehoshuaʿ.,
Abī l-Ḥasan,Abī l-Ḥasan,
Abī l-Munajjā,Abī l-Munajjā,
Abī Manṣūr al-Ḥakīm,Abī Manṣūr al-Ḥakīm,
Abī Sālim b. Ephraim,Abī Sālim b. Efrayim,
Abī Saʿd Ephraim b. ʿEli,Abī Saʿd Efrayim b. ʿEli,
Abī Yaʿqūb Yūsuf al-Ḥarīrī,Abī Yaʿqūb Yūsuf al-Ḥarīrī,
Abī ʿImrān Mūsā b. Abī l-Ḥay Ibn Ḵalīlī,Abī ʿImrān Mūsā b. Abī l-Ḥay Ibn khalīlī,
Abiaṯar ha-Kohen,Evyatar ha-Kohen,Abiatar --> Evyatar
Abraham,Avraham,
Abraham ‘Foundation of the Yešiva’,Avraham ‘Foundation of the Yeshiva’,
Abraham ‘Head of the Row’ b. Samuel,Avraham ‘Head of the Row’ b. Shemuʾel,
Abraham (descendant of Šemaʿya Gaʾon),Avraham (descendant of shemaʿya Gaʾon),
Abraham (known as Abū Kaṯīr) b. Solomon b. [...],Avraham (known as Abū Kathīr) b. Shelomo b. [...],
Abraham (Nagid),Avraham (Nagid),
Abraham (teacher),Avraham (teacher),
Abraham [...] ha-Kohen b. Faraj (?) אלרחבי,Avraham [...] ha-Kohen b. Faraj (?) אלרחבי,
Abraham al-Amšāṭī b. Ḥananel,Avraham al-Amshāṭī b. Ḥananel,
Abraham al-Ḥarīrī,Avraham al-Ḥarīrī,
Abraham al-Maḥallī,Avraham al-Maḥallī,
Abraham al-Miṣrī,Avraham al-Miṣrī,
Abraham al-Murqī,Avraham al-Murqī,
Abraham al-Najīb,Avraham al-Najīb,
