person,count,pgpid
ketubba,237,"19979, 754, 18648, 1611, 29027, 6899, 1699, 2694, 6630, 4327, 560, 1769, 1668, 19775, 19287, 854, 11311, 18699, 11314, 19115, 18688, 31332, 11317, 31333, 18647, 18644, 1694, 11319, 19010, 11312, 1689, 19982, 19977, 905, 780, 19747, 4760, 11315, 8395, 19839, 6927, 2486, 4759, 19978, 11321, 7391, 31329, 19787, 2410, 19975, 1670, 30527, 11316, 6924, 1612, 6818, 797, 31327, 31335, 18684, 31334, 6894, 2753, 11318, 617, 6601, 6865, 19777, 2246, 11320, 1801, 19102, 31314, 7488, 11313, 11310, 6625, 6864"
joseph,237,"16313, 17162, 16213, 448, 17651, 16785, 18113, 17901, 17942, 17164, 16045, 18156, 17062, 16895, 18138, 18464, 18894, 17604, 18462, 18520, 18742, 17783, 18533, 29368, 17208, 16522, 17344, 17787, 18135, 17576, 16758, 20248, 29069, 17941, 18310, 18745, 1556, 18922, 17695, 12297, 8029, 17168, 17113, 16851, 17844, 17922, 16990, 17540, 16293, 29116, 16297, 18127, 17078, 18359, 17042, 16584, 29269, 19048, 17440, 16153, 18866, 16894, 6851, 16997, 9640, 17018, 12714, 17872, 17713, 16565, 17036, 1765, 17852, 29326, 18861, 18151, 17188, 17389"
moshe b. levi ha-levi,234,"12228, 2905, 30306, 31419, 16943, 30134, 23309, 4040, 23332, 1849, 2000, 30285, 30293, 3398, 1977, 30284, 30283, 12226, 2887, 3704, 8380, 8814, 31368, 26710, 458, 6707, 1187, 30287, 11564, 2598, 3703, 6226, 11870, 3692, 30133, 30297, 20472, 2914, 30305, 2891, 7034, 3122, 7687, 5402, 30294, 30298, 12268, 22474, 19273, 18188, 11750, 19966, 24617, 30289, 23547, 28552, 1020, 30136, 12114, 3709, 30286, 2623, 19934, 24745, 21458, 24572, 30821, 6316, 30291, 30143, 26711, 1850, 3147, 30451, 19805"
daniel b. azarya,234,"671, 798, 594, 822, 825, 832, 4462, 2247, 1462, 1512, 1683, 6161, 1538, 4504, 1568, 673, 5746, 4413, 1567, 2518, 1571, 692, 4443, 1090, 1366, 4491, 1537, 891, 1078, 1344, 475, 1642, 3342, 2031, 790, 6162, 2782, 745, 3030, 1610, 691, 2273, 821, 1652, 7991, 1067, 1079, 1667, 1371, 1298, 743, 1516, 1367, 1372, 1672, 4489, 1373, 920, 663, 2298, 1517, 744, 1534, 1736, 1648, 5745, 833, 1091, 741"
vmr,231,"5592, 6116, 5683, 1050, 1442, 2569, 1988, 5682, 1013, 5898, 639, 3216, 1947, 5685, 1893, 5810, 1138, 5681, 5655, 5876, 1198, 1151, 1941, 1032, 2078, 5982, 1927, 1191, 1237, 1230, 592, 917, 1055, 1516, 6629, 2885, 6983, 1766, 1916, 864, 2171, 5952, 1188, 1291, 2892, 1854, 5671, 1649, 5748, 2048, 4323, 1696, 1955, 1899, 2890, 963, 5615, 2059, 1517, 2172, 5903, 5890, 5925, 1195, 658, 1891, 5895, 5695, 1183, 591, 5941, 5415, 5759, 2886, 5724, 1510, 1563"
abu,210,"1099, 16373, 17402, 20474, 19198, 1920, 3538, 1282, 17130, 3479, 19722, 7019, 4102, 16091, 16610, 2634, 2604, 18797, 8604, 714, 7479, 16475, 17878, 28825, 11337, 16437, 17874, 17844, 3116, 2181, 16990, 31511, 16283, 26738, 3852, 17312, 16431, 16459, 16605, 22474, 2067, 19093, 16809, 3025, 16342, 4222, 3841, 16468, 17752, 18971, 698, 20599, 30147, 16486, 23331, 17799, 18270, 16299, 8159, 24578, 22788, 20607, 17954, 6825, 4119, 9668, 26792, 12064, 31380, 1960"
medieval egypt,198,"22097, 8593, 5320, 8580, 5309, 909, 5325, 5317, 5322, 5328, 2225, 5308, 5248, 1045, 5319, 4339, 5333, 8568, 8544, 8545, 8574, 8581, 3218, 5331, 1037, 1175, 1187, 5326, 11564, 8561, 8578, 5324, 8575, 5310, 8582, 5329, 8563, 5312, 5318, 5321, 8557, 8584, 8587, 8592, 8566, 8586, 5327, 5332, 8583, 5316, 5330, 8546, 2140, 4547, 904, 8542, 8543, 5314, 8589, 8564, 5315, 3217, 8585, 8588, 5311"
abraham,192,"2002, 18157, 1252, 18905, 16460, 16086, 17013, 16294, 16126, 16135, 17085, 17521, 16442, 17486, 16971, 1768, 16437, 2563, 17093, 17556, 17857, 17430, 9032, 1962, 16883, 19346, 16472, 17000, 17037, 552, 17918, 18135, 18097, 16758, 2216, 16643, 18638, 17054, 17897, 9567, 16140, 16305, 17121, 16059, 17016, 31251, 29120, 3001, 17069, 16324, 16211, 17010, 16455, 17092, 16480, 16139, 16401, 17397"
hillel b. eli,177,"3189, 8381, 2127, 3031, 4251, 11222, 11526, 11523, 3184, 8676, 11212, 5352, 8377, 4217, 2420, 6927, 1784, 5643, 757, 3175, 3026, 8788, 5388, 15785, 5338, 5393, 3187, 4118, 8985, 3528, 6920, 4637, 5343, 5358, 4209, 5387, 1422, 15994, 5359, 15781, 5340, 3972, 3258, 5389, 2988, 11416, 3441, 6915, 3503, 3898, 5334, 6652, 8847, 11527, 3539, 670, 9461, 2989"
med,177,"2841, 3964, 4760, 6711, 5239, 9525, 3515, 12452, 3488, 6552, 5244, 5247, 9516, 770, 3333, 5252, 5266, 5304, 4312, 8402, 9511, 6617, 4768, 3221, 5917, 3562, 5396, 9640, 3163, 5267, 2874, 2580, 4081, 5293, 629, 5198, 3220, 2147, 3197, 3361, 9514, 9521, 2446, 1501, 4754, 9510, 9519, 4294, 3567, 953, 9512, 2646, 2677, 7343, 9522, 4065, 9513"
gaon,171,"2173, 7018, 5925, 852, 5880, 885, 11959, 1496, 536, 5803, 2414, 5682, 1622, 4276, 1013, 3540, 2087, 957, 3673, 3928, 1772, 4467, 6017, 552, 5911, 733, 2891, 5935, 2269, 3693, 3811, 19123, 1261, 599, 5882, 846, 1020, 1467, 1672, 1130, 5980, 1656, 2950, 5779, 5822, 6164, 1762, 1754, 1075, 27428, 1475"
al-mahalla,159,"4584, 1107, 3440, 3515, 2666, 26233, 6594, 6163, 7479, 27072, 26652, 3095, 3303, 4021, 3308, 5895, 6141, 4582, 8165, 1175, 3950, 11209, 2942, 9798, 3124, 2776, 16721, 3081, 2900, 26820, 27053, 16459, 2561, 2147, 1501, 3608, 28451, 5672, 3314, 23331, 2950, 1071, 5552, 4741, 2432, 5268, 11334, 3940, 15931, 8985, 7664"
poverty,156,"8593, 5320, 8580, 5309, 5325, 5317, 5322, 5328, 5308, 5319, 8677, 5333, 8568, 8544, 8545, 8574, 8581, 5331, 5326, 8561, 8578, 5324, 8575, 5310, 8582, 5329, 8563, 5312, 5318, 5321, 8557, 8584, 8587, 8592, 8566, 8586, 5327, 5332, 8583, 5316, 5330, 8546, 4547, 8543, 8542, 5314, 8589, 8564, 5315, 8585, 8588, 5311"
bill,144,"30206, 2107, 11086, 29887, 16197, 6853, 11100, 5474, 11106, 4077, 6796, 11085, 5472, 11089, 11107, 19142, 30201, 6623, 11104, 16190, 3499, 11083, 16195, 30202, 4132, 18633, 7426, 4275, 11087, 3941, 6789, 20108, 2996, 16148, 11103, 4076, 1707, 11088, 11101, 30203, 11102, 6490, 11079, 5473, 30205, 11093, 3414, 2212"
rashid,141,"16127, 6098, 30441, 16220, 5969, 17533, 30682, 1920, 30582, 19195, 26782, 26233, 28271, 5811, 30349, 30544, 6230, 17049, 30536, 30477, 12044, 3854, 20105, 19777, 3483, 19301, 30416, 30423, 5993, 5594, 12060, 30597, 19937, 12086, 26661, 30732, 29890, 4027, 18978, 2604, 28517"
nasi,135,"2976, 12286, 1081, 3999, 1944, 18810, 17542, 2518, 17090, 19252, 3303, 8265, 9800, 1790, 16857, 4035, 31511, 17437, 3548, 17517, 29305, 1911, 4070, 5198, 599, 26483, 3001, 5923, 6888, 6176, 5928, 3194, 3904, 3550, 6916, 6275, 3255, 5265"
geniza,129,"2025, 801, 2587, 9919, 9920, 4534, 4763, 6716, 19973, 5244, 5248, 5349, 6220, 4643, 19297, 5252, 17049, 4409, 28572, 12413, 5396, 4745, 591, 29668, 5198, 30837, 9514, 5226, 19278, 16262, 846, 4522, 31251, 5817, 31106, 9519, 730, 4618, 2741, 9305, 19115, 6859"
naim vanthieghem,123,"16029, 16024, 16034, 16014, 16007, 16031, 16028, 16002, 16033, 16009, 16011, 16039, 16041, 16005, 16006, 16030, 16040, 16019, 16015, 16016, 16027, 16023, 16020, 16026, 16035, 16018, 16022, 16037, 16013, 16003, 16021, 16010, 16032, 16038, 16004, 16025, 16012, 16042, 16036, 16008, 16017"
mark cohen,117,"1618, 448, 5297, 909, 5248, 1894, 2011, 1301, 5295, 4342, 3247, 1980, 2035, 3060, 2490, 1254, 4317, 3678, 3944, 1991, 2020, 2018, 3215, 1995, 1975, 1536, 3645, 1404, 3713, 2051, 904, 3695, 4325, 1928, 1901, 1842, 4335, 1231, 2782"
jacob,111,"18146, 16220, 18914, 17754, 16406, 18905, 16133, 16158, 17931, 16752, 17189, 29121, 18481, 1194, 9169, 17367, 16758, 16643, 17897, 29069, 16226, 16452, 17792, 17899, 17702, 17604, 9170, 17108, 12392, 4050, 17320, 17438, 18151, 16131, 18855, 17460, 17070"
isaac,108,"31163, 18966, 16532, 18905, 18668, 18165, 7136, 16768, 16844, 30296, 16276, 17831, 20463, 17270, 17018, 17192, 29069, 18409, 19005, 1402, 29022, 1536, 18169, 17108, 16740, 16150, 18701, 16125, 18520, 8159, 16682"
yehoshua maimonides,105,"19046, 3259, 3405, 2690, 26327, 27054, 8758, 1894, 8685, 25630, 12439, 1980, 26971, 8793, 3857, 2224, 30438, 26427, 6777, 7287, 31262, 9391, 26926, 26800, 1995, 6724, 25568, 20154, 23435, 22413, 31257, 15748, 6931, 18619"
oded zinger,105,"2058, 2127, 5297, 3031, 3538, 3041, 2420, 9035, 1237, 23202, 9032, 3658, 12331, 3931, 1110, 9031, 2216, 656, 2390, 9517, 2640, 3025, 8779, 3945, 9036, 1912, 3077, 2123, 9033, 1862, 6875, 9034, 19283, 19740, 4341"
mevorakh b. saadya,102,"1235, 8381, 3044, 3068, 4277, 3132, 786, 4515, 3229, 8043, 5295, 5263, 3266, 4174, 3060, 3185, 3427, 6439, 2876, 9171, 5293, 1721, 2798, 29848, 2789, 5231, 2793, 3549, 9551, 3809, 3590, 3349, 7284, 8985"
Maimonides to Abu al-Majd,100,
barhun b. musa al-tahirti,99,"5855, 6013, 5765, 3128, 6126, 2774, 5966, 5662, 5741, 5766, 7036, 9540, 5960, 6102, 6047, 6121, 5917, 6097, 5581, 9562, 3176, 6018, 5974, 4496, 5593, 2951, 4495, 721, 6039, 6022, 3142"
halfon b. menasse,96,"2956, 4197, 3464, 4257, 4223, 4241, 3447, 3038, 3723, 4228, 4235, 2760, 4239, 4230, 2579, 4231, 4238, 4042, 4237, 2499, 4229, 4222, 4236, 5336, 4183, 4240, 5440, 4232, 3468, 3652, 4013, 4000"
damietta,93,"8161, 30402, 6218, 30583, 19955, 8379, 30356, 17007, 30526, 6574, 19939, 1077, 4620, 30495, 18010, 18203, 2064, 30268, 3276, 1005, 3445, 2052, 30437, 30428, 2884, 19937, 16403, 30419, 16232, 6562"
